Date;Open*;Close**;Market Cap
21.10.2018;12,59;13,11;144158300
22.10.2018;13,08;13,17;144870000
23.10.2018;13,19;13,56;149143500
24.10.2018;13,5;14,21;156346300
25.10.2018;14,12;13,69;150587800
26.10.2018;13,68;13,66;150217100
27.10.2018;13,65;13,97;153707400
28.10.2018;14,06;14,8;162767000
29.10.2018;14,78;14,23;156524500
30.10.2018;14,24;14,42;158667300
31.10.2018;14,43;14,22;156422200
1.11.2018;14,22;14,22;156438700
2.11.2018;14,22;14,42;158623300
3.11.2018;14,43;15,33;168643200
4.11.2018;15,3;14,83;163131100
5.11.2018;14,83;14,55;160086300
6.11.2018;14,58;14,71;161584500
7.11.2018;14,69;14,81;162892400
8.11.2018;14,81;14,73;162006900
9.11.2018;14,73;14,69;161603200
10.11.2018;14,68;14,64;161030100
11.11.2018;14,63;13,84;152208100
12.11.2018;13,9;13,48;148322900
13.11.2018;13,44;13,13;144432200
14.11.2018;13,08;11,21;123271500
15.11.2018;11,26;11,15;122644500
16.11.2018;11,17;11,09;122041700
17.11.2018;11,12;10,84;119254300
18.11.2018;10,84;10,99;120925200
19.11.2018;11;8,83;97152440
20.11.2018;8,79;8,22;90417250
21.11.2018;8,24;9,06;99654170
22.11.2018;9,05;10,03;110382800
23.11.2018;9,95;9,32;102548380
24.11.2018;9,31;8,27;91013560
25.11.2018;8,26;7,89;86841370
26.11.2018;7,93;7,57;83222920
27.11.2018;7,54;7,76;85360110
28.11.2018;7,77;8,64;95060900
29.11.2018;8,69;8,67;95340273
30.11.2018;8,69;8,18;89977135
1.12.2018;8,2;8,74;96109229
2.12.2018;8,71;8,47;93188110
3.12.2018;8,49;7,85;86349527
4.12.2018;7,84;8,16;89708757
5.12.2018;8,16;7,44;81828191
6.12.2018;7,46;6,83;75098475
7.12.2018;6,81;6,4;70434907
8.12.2018;6,4;6,29;69136499
9.12.2018;6,26;6,45;70996890
10.12.2018;6,45;6,01;66115057
11.12.2018;5,99;6,23;68543386
12.12.2018;6,22;6,91;76057466
13.12.2018;6,92;6,19;68128416
14.12.2018;6,21;5,78;63600372
15.12.2018;5,78;5,6;61605432
16.12.2018;5,6;5,69;62571992
17.12.2018;5,69;6,25;68741881
18.12.2018;6,26;6,5;71481356
19.12.2018;6,56;6,91;75993558
20.12.2018;6,92;7,52;82682181
21.12.2018;7,51;7,14;78567917
22.12.2018;7,14;7,59;83492995
23.12.2018;7,59;8,48;93289950
24.12.2018;8,47;8,79;96708256
25.12.2018;8,81;7,84;86219459
26.12.2018;7,84;8,12;89274445
27.12.2018;8,12;7,35;80886348
28.12.2018;7,32;8,2;90153170
29.12.2018;8,22;8,23;90475244
30.12.2018;8,22;8,2;90148421
31.12.2018;8,21;7,82;86035432
1.01.2019;7,83;8,2;90147231
2.01.2019;8,28;8,87;97553509
3.01.2019;8,87;8,64;95028923
4.01.2019;8,66;9,25;101704442
5.01.2019;9,23;9,3;102283128
6.01.2019;9,3;9,53;104799749
7.01.2019;9,54;9,4;103347051
8.01.2019;9,4;10,05;110532117
9.01.2019;10,07;9,91;109064388
10.01.2019;9,93;9,12;100315319
11.01.2019;9,11;9,4;103372775
12.01.2019;9,39;9,09;100034389
13.01.2019;9,09;8,19;90135530
14.01.2019;8,19;10,19;112113390
15.01.2019;10,19;9,75;107220668
16.01.2019;9,71;13,86;152498270
17.01.2019;14,01;15,01;165104942
18.01.2019;15,13;15,16;166716725
19.01.2019;15,18;17,36;190953572
20.01.2019;17,38;18,05;198531023
21.01.2019;18,09;16,85;185314730
22.01.2019;17,27;15,28;168101008
23.01.2019;15,44;14,53;159844331
24.01.2019;14,57;14,92;164167036
25.01.2019;14,92;14,1;155117092
26.01.2019;14,1;13,75;151252816
27.01.2019;13,76;13,05;143544683
28.01.2019;13,01;11,34;124697363
29.01.2019;11,37;12,07;132813822
30.01.2019;12,02;12,03;132341204
31.01.2019;12,03;12,59;138489945
1.02.2019;12,49;12,79;140668038
2.02.2019;12,77;14,69;161569163
3.02.2019;14,68;14,35;157811077
4.02.2019;14,46;13,6;149607830
5.02.2019;13,6;13,47;148153472
6.02.2019;13,51;13,07;143790615
7.02.2019;12,98;13,11;144159765
8.02.2019;13,12;13,88;152720639
9.02.2019;13,86;13,8;151852285
10.02.2019;13,8;13,66;150257509
11.02.2019;13,63;13,46;148109890
12.02.2019;13,7;13,67;150395617
13.02.2019;13,69;13,48;148311616
14.02.2019;13,47;13,5;148544001
15.02.2019;13,51;13,51;148617012
16.02.2019;13,51;13,49;148408354
17.02.2019;13,52;13,73;151056805
18.02.2019;13,72;14,2;156189839
19.02.2019;14,23;14,06;154703302
20.02.2019;14,1;14,17;155857711
21.02.2019;14,12;13,76;151390289
22.02.2019;13,75;13,95;153478964
23.02.2019;13,94;14,14;155557201
24.02.2019;14,15;12,69;139637683
25.02.2019;12,65;13,19;145130639
26.02.2019;13,15;13,02;143192300
27.02.2019;13,03;12,82;141050248
28.02.2019;12,82;12,6;138621770
1.03.2019;12,6;12,78;140606278
2.03.2019;12,76;12,7;139688071
3.03.2019;12,68;12,87;141623613
4.03.2019;12,86;12,29;135192438
5.03.2019;12,28;12,76;140399208
6.03.2019;12,76;12,68;139450641
7.03.2019;12,67;12,93;142206615
8.03.2019;12,94;12,76;140343726
9.03.2019;12,75;13,14;144592915
10.03.2019;13,17;13,62;149849247
11.03.2019;13,64;14,57;160231167
